Transition_ID,Time,Grade_From,Grade_To,Stock_Flow,Filler_Flow,Steam_Pressure,Machine_Speed,Moisture,Ash,Caliper,Wire_Vacuum,Refiner_Load,Draw_Tension,Target_BasisWeight,Actual_BasisWeight,Deviation_Pct,Off_Spec,Time_To_Stable
0,0,60,90,156.25,23.14,4.41,396.98,6.55,11.75,9.0,18.52,74.14,2.62,90,96.22,6.916,1,16
0,1,60,90,157.38,22.67,4.69,413.69,6.12,12.7,8.99,18.75,70.1,2.68,90,96.09,6.768,1,15
0,2,60,90,152.72,21.85,5.03,413.65,6.67,12.34,9.43,18.62,70.27,2.38,90,94.73,5.258,1,14
0,3,60,90,157.39,22.09,4.69,401.76,6.76,12.59,9.11,18.58,72.21,2.52,90,94.96,5.507,1,13
0,4,60,90,156.61,22.42,5.07,410.68,6.62,12.51,8.71,18.7,70.55,2.4,90,93.76,4.179,1,12
0,5,60,90,158.48,21.33,5.14,393.17,6.37,12.13,9.12,19.5,73.38,2.45,90,93.99,4.43,1,11
0,6,60,90,156.57,22.01,4.58,398.67,6.13,12.4,9.03,19.43,70.53,2.52,90,94.81,5.349,1,10
0,7,60,90,153.07,22.66,4.73,406.37,6.35,11.04,9.1,18.65,71.83,2.57,90,94.48,4.983,1,9
0,8,60,90,156.0,22.1,4.79,409.2,5.83,10.84,8.74,18.31,72.63,2.36,90,92.78,3.088,1,8
0,9,60,90,157.9,21.84,5.08,400.66,6.42,11.24,8.93,19.5,67.23,2.57,90,94.06,4.511,1,7
0,10,60,90,152.22,20.75,4.92,404.71,6.59,12.02,9.32,18.81,68.67,2.53,90,93.55,3.945,1,6
0,11,60,90,158.08,23.04,4.99,424.63,6.02,11.49,8.81,18.52,68.47,2.6,90,93.34,3.71,1,5
0,12,60,90,149.59,21.18,4.98,418.38,7.3,14.33,9.08,18.22,66.03,2.54,90,92.57,2.857,1,4
0,13,60,90,152.75,21.59,4.86,420.66,6.56,11.87,8.79,17.79,70.26,2.49,90,93.5,3.888,1,3
0,14,60,90,154.39,23.18,4.78,398.15,6.11,11.42,9.43,18.53,74.05,2.36,90,92.71,3.009,1,2
0,15,60,90,155.15,22.04,4.89,403.45,6.68,11.64,8.75,18.2,72.04,2.74,90,93.38,3.751,1,1
0,16,60,90,153.64,22.49,5.23,412.19,6.34,12.89,9.09,19.8,72.2,2.32,90,91.63,1.814,0,0
0,17,60,90,158.95,23.92,4.86,406.17,7.08,11.11,8.82,19.32,71.19,2.5,90,92.45,2.72,1,0
0,18,60,90,155.01,23.61,4.92,416.44,5.68,11.96,8.83,18.1,69.89,2.45,90,92.31,2.57,1,0
0,19,60,90,150.02,22.23,4.78,406.72,6.9,12.43,9.27,18.84,69.93,2.47,90,92.16,2.401,0,0
0,20,60,90,154.53,21.12,4.92,412.28,7.51,13.5,8.83,18.7,67.68,2.41,90,91.88,2.087,0,0
0,21,60,90,157.62,21.47,4.74,388.53,6.43,11.15,8.89,18.59,71.21,2.24,90,90.83,0.923,0,0
0,22,60,90,160.39,20.91,4.63,428.37,7.66,11.06,8.93,18.92,75.6,2.35,90,91.53,1.701,0,0
0,23,60,90,156.33,22.63,4.81,408.66,5.95,11.81,8.95,19.05,70.4,2.57,90,92.27,2.527,1,0
0,24,60,90,154.47,22.55,4.91,410.0,6.21,12.25,8.98,20.16,75.7,2.56,90,91.92,2.135,0,0
0,25,60,90,150.66,23.39,4.97,414.8,5.8,12.74,9.09,18.19,70.84,2.54,90,91.65,1.83,0,0
0,26,60,90,153.12,22.1,4.84,411.53,7.09,9.95,8.95,18.99,72.37,2.44,90,91.09,1.212,0,0
0,27,60,90,154.98,23.93,4.52,418.64,6.37,11.95,8.79,18.61,75.43,2.59,90,92.06,2.286,0,0
0,28,60,90,157.53,22.64,5.34,414.39,6.83,11.76,9.01,18.44,74.27,2.32,90,91.22,1.353,0,0
0,29,60,90,153.43,23.37,5.09,428.21,6.79,10.74,8.99,18.01,70.72,2.73,90,91.8,2.003,0,0
0,30,60,90,151.9,21.19,4.91,397.83,6.23,12.25,9.23,19.39,65.63,2.55,90,91.41,1.568,0,0
0,31,60,90,155.24,23.82,4.38,404.09,6.74,10.73,9.3,19.18,74.26,2.41,90,91.3,1.44,0,0
0,32,60,90,157.21,22.43,4.96,412.7,6.15,11.88,8.97,19.1,74.23,2.34,90,90.95,1.058,0,0
0,33,60,90,158.44,21.46,4.69,412.02,6.84,12.01,9.27,19.39,73.54,2.58,90,91.69,1.883,0,0
0,34,60,90,153.38,20.2,5.3,405.42,6.54,13.05,8.68,18.19,67.06,2.38,90,90.86,0.954,0,0
0,35,60,90,155.57,22.48,4.55,386.9,6.52,11.62,9.09,19.55,72.09,2.61,90,91.3,1.449,0,0
0,36,60,90,155.59,21.5,4.86,411.97,6.83,11.69,9.1,18.72,71.15,2.62,90,90.89,0.987,0,0
0,37,60,90,150.11,20.72,4.32,403.22,6.8,11.77,9.04,19.62,74.53,2.49,90,91.18,1.312,0,0
0,38,60,90,154.28,21.36,4.75,395.19,6.14,11.71,9.16,20.08,67.95,2.56,90,90.94,1.041,0,0
0,39,60,90,155.42,22.07,4.44,419.28,6.26,11.57,8.79,18.41,72.69,2.47,90,90.83,0.918,0,0
0,40,60,90,155.09,23.52,4.81,395.23,6.93,11.73,9.22,19.28,71.73,2.55,90,91.12,1.241,0,0
0,41,60,90,160.23,22.27,4.94,420.76,6.16,12.27,8.99,18.98,69.6,2.26,90,90.3,0.331,0,0
0,42,60,90,150.65,21.74,4.83,429.37,6.94,11.23,9.07,18.46,70.81,2.53,90,90.8,0.888,0,0
0,43,60,90,152.98,23.26,4.61,410.06,7.54,12.18,9.29,18.95,73.43,2.49,90,90.7,0.782,0,0
0,44,60,90,151.66,22.63,4.69,416.66,6.93,12.29,8.94,19.11,71.02,2.64,90,90.69,0.762,0,0
0,45,60,90,152.99,20.21,4.53,423.64,6.86,11.42,8.7,16.98,69.7,2.86,90,90.98,1.084,0,0
0,46,60,90,152.32,22.67,4.51,407.03,6.54,11.93,9.16,19.14,73.47,2.4,90,90.61,0.682,0,0
0,47,60,90,158.89,21.23,4.68,423.36,6.42,13.12,8.91,19.64,71.7,2.54,90,90.78,0.871,0,0
0,48,60,90,152.91,21.26,4.79,414.52,5.87,12.51,8.89,19.54,65.39,2.38,90,90.36,0.402,0,0
0,49,60,90,151.52,22.45,4.86,407.47,6.44,12.16,8.8,19.35,73.39,2.56,90,90.66,0.731,0,0
0,50,60,90,154.89,24.24,4.88,406.93,6.2,11.17,8.75,18.4,72.09,2.55,90,90.54,0.595,0,0
0,51,60,90,151.7,23.1,5.08,408.4,6.24,12.44,9.04,18.05,71.76,2.54,90,90.43,0.478,0,0
0,52,60,90,154.57,20.75,5.23,422.48,6.4,12.29,8.52,18.08,70.49,2.34,90,90.34,0.382,0,0
0,53,60,90,159.99,21.02,4.69,412.35,7.14,11.02,9.05,19.97,67.18,2.31,90,90.33,0.362,0,0
0,54,60,90,152.44,23.01,4.96,392.25,6.71,11.54,9.25,18.7,70.31,2.58,90,90.51,0.566,0,0
0,55,60,90,155.34,20.51,5.03,399.66,6.59,10.86,9.09,18.52,67.95,2.61,90,90.46,0.516,0,0
0,56,60,90,152.16,23.65,4.79,410.32,6.61,11.5,9.09,18.58,71.07,2.7,90,90.46,0.515,0,0
0,57,60,90,146.76,23.81,5.54,405.95,5.73,11.75,8.94,18.83,69.36,2.59,90,90.44,0.489,0,0
0,58,60,90,149.52,22.9,5.41,411.72,6.37,11.89,9.12,17.84,72.28,2.44,90,90.36,0.401,0,0
0,59,60,90,153.48,23.87,4.62,415.87,6.63,11.3,9.04,19.57,71.35,2.25,90,90.22,0.247,0,0
1,0,80,100,154.88,21.38,5.12,394.77,5.47,12.63,10.05,18.62,68.12,2.53,100,107.66,7.662,1,14
1,1,80,100,167.15,23.42,5.1,398.33,6.83,12.5,10.25,18.7,70.94,2.33,100,106.87,6.865,1,13
1,2,80,100,164.5,22.54,4.89,403.14,6.4,12.76,9.55,18.47,69.81,2.05,100,103.4,3.398,1,12
1,3,80,100,157.25,22.8,5.28,397.55,6.09,11.95,10.21,18.44,69.56,2.48,100,105.63,5.626,1,11
1,4,80,100,161.94,22.99,5.18,389.65,6.5,11.83,9.76,18.17,73.61,2.35,100,103.73,3.726,1,10
1,5,80,100,159.71,24.13,4.43,385.03,6.13,13.17,10.06,19.61,69.39,2.23,100,104.97,4.966,1,9
1,6,80,100,160.17,23.55,4.95,402.78,6.56,12.62,10.16,18.0,66.45,2.55,100,106.41,6.408,1,8
1,7,80,100,156.94,21.14,5.02,409.31,7.22,12.41,9.93,18.37,71.37,2.36,100,103.25,3.25,1,7
1,8,80,100,166.15,24.79,5.28,390.79,6.84,12.51,10.09,19.84,74.02,2.51,100,105.8,5.796,1,6
1,9,80,100,161.02,21.22,5.02,394.44,5.99,13.35,10.35,19.87,72.0,2.6,100,105.31,5.311,1,5
1,10,80,100,160.61,21.91,5.1,400.6,5.98,11.96,9.98,20.07,73.81,2.4,100,104.54,4.539,1,4
1,11,80,100,160.13,22.8,4.73,398.49,6.2,11.0,10.1,19.25,67.37,2.38,100,104.49,4.493,1,3
1,12,80,100,163.18,24.03,5.01,391.55,6.07,12.28,10.08,19.86,74.96,2.38,100,102.88,2.876,1,2
1,13,80,100,159.04,23.22,4.95,394.22,6.6,11.6,9.87,19.24,70.96,2.44,100,103.8,3.799,1,1
1,14,80,100,156.58,22.52,5.36,388.38,5.65,10.51,10.01,19.13,71.46,2.58,100,102.12,2.122,0,0
1,15,80,100,161.19,24.56,4.72,396.2,6.2,11.28,9.93,19.89,76.96,2.35,100,104.42,4.423,1,0
1,16,80,100,160.11,24.75,4.98,401.31,6.65,14.54,10.17,18.56,74.85,2.35,100,102.44,2.439,0,0
1,17,80,100,162.73,23.03,5.07,400.14,6.63,12.34,9.61,19.4,69.45,2.18,100,102.21,2.207,0,0
1,18,80,100,160.25,22.31,5.21,386.58,6.34,11.53,9.99,19.3,69.17,2.51,100,103.04,3.036,1,0
